id,last_scraped,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,host_is_superhost,instant_bookable,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
992097956190910605,2023-12-14,Downtown,49.278,-123.11501,Entire home/apt,4,1 bath,1,$293.00,30,FALSE,TRUE,0,NA,362,1
992146594522523663,2023-12-13,Kitsilano,49.26688,-123.15568,Entire home/apt,2,1 bath,1,$65.00,30,TRUE,FALSE,1,5,150,26
992151032621343235,2023-12-13,Kitsilano,49.265302870719765,-123.15567861736292,Entire home/apt,2,1 bath,1,$72.00,30,TRUE,TRUE,0,NA,129,26
992180635524620061,2023-12-13,Kitsilano,49.26283556561621,-123.16228395923004,Entire home/apt,4,1 bath,2,$93.00,30,TRUE,FALSE,0,NA,209,26
992189585223778606,2023-12-13,Fairview,49.26176173140608,-123.14356089289689,Entire home/apt,4,1 bath,2,$104.00,30,TRUE,FALSE,0,NA,99,26
992195569043205092,2023-12-14,Downtown,49.28101,-123.1247,Entire home/apt,2,1 bath,1,$170.00,30,FALSE,FALSE,0,NA,72,1
992197767179647795,2023-12-13,Fairview,49.26089,-123.14304,Entire home/apt,2,1 bath,1,$80.00,30,TRUE,FALSE,0,NA,172,26
992217901200896993,2023-12-14,Downtown Eastside,49.27969,-123.10019,Entire home/apt,4,2 baths,2,$227.00,3,FALSE,FALSE,15,5,0,1
992219351762738324,2023-12-14,Victoria-Fraserview,49.221110233499154,-123.05930065272617,Entire home/apt,14,2.5 baths,8,$499.00,1,FALSE,FALSE,0,NA,252,3
992395916483989349,2023-12-13,Kitsilano,49.26347504761133,-123.17198960750976,Entire home/apt,6,1 bath,3,$163.00,30,FALSE,FALSE,0,NA,216,1
992780875974912327,2023-12-14,Shaughnessy,49.23797273421377,-123.13838546817676,Entire home/apt,4,1 bath,2,$127.00,1,NA,TRUE,8,4.63,73,1
992836863011080983,2023-12-14,Renfrew-Collingwood,49.23729900000001,-123.0263601,Entire home/apt,8,3.5 baths,4,$361.00,2,FALSE,FALSE,4,5,312,1
992954203907359415,2023-12-13,Marpole,49.21799715799669,-123.14258136425828,Private room,2,2 baths,1,$95.00,30,FALSE,FALSE,4,5,90,1
993247967164261497,2023-12-14,Downtown,49.27981,-123.10668,Entire home/apt,4,1 bath,2,$114.00,1,FALSE,TRUE,7,4.71,120,43
993480845146861613,2023-12-13,Victoria-Fraserview,49.21925,-123.05645,Private room,2,1.5 shared baths,1,$95.00,1,TRUE,FALSE,3,5,18,1
993486881056803517,2023-12-14,Downtown,49.276,-123.12859,Entire home/apt,2,1 bath,1,$146.00,7,FALSE,FALSE,3,5,252,1
993492175082242865,2023-12-13,Kitsilano,49.26538206944151,-123.16244202810611,Entire home/apt,6,3.5 baths,3,$395.00,2,FALSE,TRUE,6,5,37,134
993523037770138586,2023-12-13,Mount Pleasant,49.26858,-123.10377,Entire home/apt,4,1 bath,1,$120.00,28,FALSE,FALSE,1,4,241,1
993540704856681174,2023-12-14,Mount Pleasant,49.25828933524362,-123.07983378717566,Private room,2,1 bath,1,$20.00,30,FALSE,TRUE,0,NA,269,6
993611972112306836,2023-12-14,Downtown,49.2821356399858,-123.11571968291696,Private room,1,Half-bath,1,$75.00,30,FALSE,FALSE,0,NA,269,3
